year,country,avg_temperature_°c,co2_emissions_tons_capita,sea_level_rise_mm,rainfall_mm,population,renewable_energy_,extreme_weather_events,forest_area_,climate_risk_score,risk_level,carbon_alert
2006,UK,0.1304347826086956,0.4512820512820513,0.525,0.3763010408326661,0.3784034005193085,0.3407572383073496,1.0,0.8297161936560934,50.08,Yüksek Risk,Normal Durum
2019,USA,0.8695652173913043,0.2205128205128205,0.8,0.7630104083266613,0.0744271484684513,0.9821826280623608,0.5714285714285714,0.348914858096828,57.92,Yüksek Risk,Normal Durum
2014,France,0.9665551839464882,0.1179487179487179,0.3,0.2962369895916733,0.3139478523861405,0.6280623608017817,0.6428571428571428,0.4240400667779632,51.3,Yüksek Risk,Normal Durum
2010,Argentina,0.0301003344481605,0.0666666666666666,0.55,0.5568454763811048,0.7650660088476995,0.4142538975501113,0.5,0.1268781302170283,24.57,Düşük Risk,Normal Durum
2007,Germany,0.7324414715719063,0.2615384615384615,0.35,0.4971977582065652,0.0864232505506266,0.1648106904231626,0.2857142857142857,0.1218697829716193,46.19,Orta Risk,Normal Durum
2020,China,0.9130434782608696,0.0461538461538461,0.425,0.6401120896717374,0.8600592164015793,0.9866369710467706,0.8571428571428571,0.6193656093489148,51.17,Yüksek Risk,Normal Durum
2006,Argentina,0.8595317725752508,0.5692307692307692,0.725,0.5020016012810248,0.4184469426977736,0.8195991091314031,0.7142857142857142,0.674457429048414,71.76,Yüksek Risk,Normal Durum
2018,South Africa,0.9665551839464882,0.282051282051282,0.875,0.1305044035228182,0.0576209785108474,0.2806236080178174,0.0714285714285714,0.7762938230383973,53.9,Yüksek Risk,Normal Durum
2022,UK,0.7625418060200668,0.8256410256410257,0.125,0.5864691753402722,0.7009298911122863,0.0690423162583518,0.2857142857142857,0.5559265442404007,61.86,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2010,Australia,0.4448160535117057,0.0717948717948717,0.625,0.8398718975180144,0.6070492699398451,0.0534521158129176,0.3571428571428571,0.6444073455759599,34.52,Orta Risk,Normal Durum
2010,Indonesia,0.31438127090301,0.2256410256410256,0.575,0.7866293034427542,0.9633566934981262,0.1180400890868596,0.9285714285714284,0.011686143572621,53.01,Yüksek Risk,Normal Durum
2023,South Africa,0.3210702341137123,0.7282051282051282,0.125,0.1497197758206565,0.9387794245846496,0.579064587973274,1.0,0.1602671118530884,61.56,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2020,Brazil,0.725752508361204,0.5999999999999999,0.2,0.1044835868694955,0.7917600007892316,0.9287305122494433,0.0,0.9849749582637728,38.59,Orta Risk,Normal Durum
2003,USA,0.7491638795986622,0.0666666666666666,0.3,0.1060848678943154,0.5707410761256996,0.4966592427616926,0.7142857142857142,0.0751252086811352,47.39,Orta Risk,Normal Durum
2007,Germany,0.2006688963210702,0.8769230769230769,0.175,0.9627702161729385,0.8439785341107663,0.8418708240534521,0.2142857142857142,0.6777963272120201,39.91,Orta Risk,Yüksek Karbon Emisyonu Uyarısı
2023,India,0.8695652173913043,0.8769230769230769,0.25,0.7778222578062449,0.2599958472038754,0.44543429844098,0.5714285714285714,0.1752921535893155,76.57,Kritik Risk,Yüksek Karbon Emisyonu Uyarısı
2002,Russia,0.7157190635451505,0.3282051282051282,0.275,0.7574059247397918,0.0186990146780822,0.7082405345211581,0.0714285714285714,0.7161936560934891,34.35,Orta Risk,Normal Durum
2021,France,0.5652173913043478,0.3384615384615384,0.3249999999999999,0.7606084867894315,0.4860672847449172,0.7305122494432071,0.2857142857142857,0.7061769616026711,36.24,Orta Risk,Normal Durum
2020,China,0.471571906354515,0.9897435897435896,0.75,0.6609287429943955,0.7685635506539494,0.1714922048997773,0.0,0.2337228714524207,64.86,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2001,Canada,0.5451505016722408,0.6256410256410255,0.575,0.577662129703763,0.8511749655228971,0.3608017817371938,0.2142857142857142,0.2687813021702838,54.23,Yüksek Risk,Normal Durum
2023,France,0.1605351170568562,0.5333333333333333,0.975,0.0176140912730184,0.9386020355002348,0.6369710467706015,0.2142857142857142,0.6544240400667779,42.18,Orta Risk,Normal Durum
2011,Mexico,0.2040133779264213,0.8358974358974359,0.425,0.2393915132105684,0.1774008954739007,0.0690423162583518,0.3571428571428571,0.3889816360601001,53.3,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2005,India,0.0903010033444816,0.2871794871794871,0.75,0.2874299439551641,0.4199106096983676,0.3608017817371938,0.6428571428571428,0.1936560934891485,41.86,Orta Risk,Normal Durum
2001,Indonesia,0.1538461538461538,0.4307692307692307,0.875,0.7650120096076861,0.2129979246024005,0.534521158129176,0.5714285714285714,0.7312186978297162,45.32,Orta Risk,Normal Durum
2020,Russia,0.4548494983277592,0.2666666666666666,0.675,0.5168134507606085,0.005401347120407,0.99554565701559,0.1428571428571428,0.1519198664440734,34.91,Orta Risk,Normal Durum
2000,India,0.531772575250836,0.7897435897435897,0.4,0.2397918334667733,0.8854690641255317,0.4743875278396436,0.5714285714285714,0.8547579298831385,61.21,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2011,Australia,0.0167224080267558,0.5743589743589743,0.75,0.1517213771016813,0.6907084327332698,0.8151447661469934,0.3571428571428571,0.5141903171953255,38.36,Orta Risk,Normal Durum
2021,USA,0.7993311036789297,0.6564102564102564,0.2,0.0464371497197758,0.7290424316231523,0.4298440979955457,0.4285714285714285,0.1035058430717863,62.22,Yüksek Risk,Normal Durum
